epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.01702820509672165,,,,,
0,82,,,0.010435494594275951,1.0105940103530884,0.010435494594275951,1.9999980926513672,0.010435494594275951
0,82,0.01361945178359747,,,,,,
1,99,,0.00848222803324461,,,,,
1,149,,0.02253883332014084,,,,,
1,165,,,0.010911129415035248,1.0566554069519043,0.010911129415035248,1.9999980926513672,0.010911129415035248
1,165,0.013548469170928001,,,,,,
2,199,,0.015347054228186607,,,,,
2,248,,,0.010542545467615128,1.020961046218872,0.010542545467615128,1.9999980926513672,0.010542545467615128
2,248,0.013536500744521618,,,,,,
3,249,,0.014241778291761875,,,,,
3,299,,0.007324243895709515,,,,,
3,331,,,0.01065792515873909,1.0321346521377563,0.01065792515873909,1.9999980926513672,0.01065792515873909
3,331,0.013549260795116425,,,,,,
4,349,,0.023381933569908142,,,,,
4,399,,0.01032676175236702,,,,,
4,414,,,0.011065492406487465,1.0716042518615723,0.011065492406487465,1.9999980926513672,0.011065492406487465
4,414,0.0135524095967412,,,,,,
5,449,,0.013862179592251778,,,,,
5,497,,,0.011208359152078629,1.0854398012161255,0.011208359152078629,1.9999982118606567,0.011208359152078629
5,497,0.01352345198392868,,,,,,
